NN,NOM STATION,NOM OU RAISON SOCIALE,LOCALITE,CANAL
1,2STV,ORIGINES SA,DAKAR,23
2,2STV,ORIGINES SA,DAKAR,27
3,2STV,ORIGINES SA,DAKAR,45
4,2STV,ORIGINES SA,GUINGUINEO,31
5,2STV,ORIGINES SA,KAOLACK,23
6,2STV,ORIGINES SA,KOLDA,65
7,2STV,ORIGINES SA,MATAM,37
8,2STV,ORIGINES SA,SAINT-LOUIS,27
9,2STV,ORIGINES SA,THIES,56
10,2STV,ORIGINES SA,ZIGUINCHOR,28
11,AADA  TV,AADA AFRICA MOTION,DAKAR,51
12,AFRICA 7,GROUPE CITIZEN MEDIA,DAKAR,25
13,AFRICABLE,AFRICABLE,DAKAR,32
14,AL MOURIDIYYAH TV,HISBUT TARQIYYAH,TOUBA,32
15,"TELEVISION SENEGALAISE - TVS (EX BAMBILOR TV)",ASSOCIATION POUR LE DEVELOPPEMENT DE BAMBILOR,BAMBILOR,49
16,LAMP TV,LAMP FALL COMMUNICATIONS,DAKAR,53
17,MOURCHID TV,DAHIRATOUL MOUSTARCHIDINA WAL MOUSTARCHIDATY,DAKAR,66
18,7 TV ex LCS,GOLD MEDIA AFRIQUE,DAKAR,47
19,7 TV ex LCS,GOLD MEDIA AFRIQUE,SAINT LOUIS,43
20,RDV,EXCAF TELECOMS,DAKAR,10
21,RDV,EXCAF TELECOMS,KAOLACK,9
22,RDV,EXCAF TELECOMS,MATAM,10
23,RDV,EXCAF TELECOMS,TAMBACOUNDA,7
24,RDV,EXCAF TELECOMS,ZIGUINCHOR,9
25,DUN YAA TV Ex RDV MUSIC,EXCAF TELECOMS,DAKAR,64
26,RTS,RTS,DAKAR,36
27,RTS,RTS,DAKAR,21
28,RTS,RTS,BAKEL,67
29,RTS,RTS,BAKEL,7 8
30,RTS,RTS,KIDIRA,50
31,RTS,RTS,GOUDIRY,4 5
32,RTS,RTS,GOUDIRY,56
33,RTS,RTS,KAOLACK,5 6
34,RTS,RTS,KAOLACK,50
35,RTS,RTS,MBACKE,55
36,RTS,RTS,MBACKE,57
37,RTS,RTS,LINGUERE,4 5
38,RTS,RTS,LINGUERE,69
39,RTS,RTS,NIORO DU RIP,37
40,RTS,RTS,KEDOUGOU,24
41,RTS,RTS,SALEMATA,12
42,RTS,RTS,KEDOUGOU,4 5
43,RTS,RTS,KIDIRA,10 11
44,RTS,RTS,KOLDA,4 5
45,RTS,RTS,SEDHIOU,67
46,RTS,RTS,KOLDA,69
47,RTS,RTS,OUROSSOGUI,63
48,RTS,RTS,KOUMPENTOUM,8 9
49,RTS,RTS,KAFFRINE,68
50,RTS,RTS,RANEROU,56
51,RTS,RTS,LOUGA,10 11
52,RTS,RTS,LOUGA,33
53,RTS,RTS,OUROSSOGUI,10 11
54,RTS,RTS,MBOUMBA,68
55,RTS,RTS,SEDHIOU,62
56,RTS,RTS,NDIOUM,8 9
57,RTS,RTS,NDIOUM,65
58,RTS,RTS,RICHARD TOLL,6 7
59,RTS,RTS,RICHARD TOLL,59
60,RTS,RTS,RICHARD TOLL,61
61,RTS,RTS,SAINT-LOUIS,5 6
62,RTS,RTS,TAMBACOUNDA,35
63,RTS,RTS,KOUMPENTOUM,30
64,RTS,RTS,TAMBACOUNDA,9 10
65,RTS,RTS,THIES,7 8
66,RTS,RTS,THIES,60
67,RTS,RTS,VELINGARA,7 8
68,RTS,RTS,VELINGARA,64
69,RTS,RTS,ZIGUINCHOR,9 10
70,RTS,RTS,ZIGUINCHOR,29
71,RTS,RTS,THIES,38
72,RTS,RTS,LOUGA,33
73,SN2,RTS,DAKAR,34
74,SEN TV,"GROUPE D, MEDIA",DAKAR,61
75,SEN TV,"GROUPE D, MEDIA",MATAM,49
76,SEN TV,"GROUPE D, MEDIA",ZIGUINCHOR,46
77,SEN TV,"GROUPE D, MEDIA",SAINT LOUIS,46
78,SEN TV,"GROUPE D, MEDIA",TAMBACOUNDA,42
79,SEN TV,"GROUPE D, MEDIA",MBACKE,49
80,SEN TV,"GROUPE D, MEDIA",KAOLACK,53
81,SEN TV,"GROUPE D, MEDIA",LOUGA,47
82,SEN TV,"GROUPE D, MEDIA",PODOR,40
83,SEN TV,"GROUPE D, MEDIA",FATICK,36
84,TELE UCB,UNIVERSITE CHEIKH  AHMADOU BAMBA,TOUBA,28
85,TFM,GROUPE FUTURS MEDIAS,DAKAR,42
86,TOUBA TV,GLOBAL MEDIAS SA,DAKAR,55
87,TOUBA TV,GLOBAL MEDIAS SA,TOUBA,59
88,TOUBA TV,GLOBAL MEDIAS SA,KAOLACK,46
89,TOUBA TV,GLOBAL MEDIAS SA,KEDOUGOU,26
90,TOUBA TV,GLOBAL MEDIAS SA,KOLDA,43
91,TOUBA TV,GLOBAL MEDIAS SA,LOUGA,53
92,TOUBA TV,GLOBAL MEDIAS SA,TAMBACOUNDA,52
93,TOUBA TV,GLOBAL MEDIAS SA,ZIGUINCHOR,54
94,TV SALOUM,GROUPE UNIVERS MEDIAS,KAOLACK,21
95,TV SALOUM,GROUPE UNIVERS MEDIAS,TOUBA,30
96,ZIG TV,GROUPE BEN COMMUNICATION,ZIGUINCHOR,57
97,WALF TV,GROUPE WALFADJRI,DAKAR,29
